Wall time,Step,Value
1580111537.3260813,66606,78.03282928466797
1580111599.0146804,66992,77.64154052734375
1580111660.7686536,67378,77.71337127685547
1580111722.5261672,67764,77.53716278076172
1580111784.266032,68152,77.28317260742188
1580111846.3295574,68532,76.79849243164062
1580111908.1083722,68917,77.5504379272461
1580111970.2309139,69310,77.49505615234375
1580112031.8800778,69698,77.17621612548828
1580112093.6227717,70085,77.30532836914062
1580112156.8347414,70472,77.01176452636719
1580112218.4552248,70858,76.4976577758789
1580112280.232801,71248,76.52101135253906
1580112342.0274847,71637,77.21439361572266
1580112404.222504,72022,76.99230194091797
1580112465.8431504,72408,76.5766830444336
1580112527.5977485,72797,76.2681655883789
1580112589.408566,73185,76.22824096679688
1580112652.0751112,73575,76.6507797241211
1580112713.7355695,73965,76.70120239257812
1580112777.583621,74347,76.06501007080078
1580112839.43787,74738,76.34342193603516
1580112901.6910133,75123,76.29134368896484
1580112963.5257318,75509,76.02261352539062
1580113025.2056596,75901,75.91769409179688
1580113086.9134526,76286,75.87085723876953
1580113148.9127629,76677,76.02098083496094
1580113210.7815719,77065,75.93449401855469
1580113272.9205546,77455,75.3110122680664
1580113336.0867152,77837,76.11581420898438
1580113398.1005998,78230,75.46060943603516
1580113459.8245585,78615,75.34679412841797
1580113521.5533776,79008,75.76300048828125
1580113583.3297334,79398,75.30915069580078
1580113645.1738868,79783,75.78753662109375
1580113706.9242032,80170,75.04814147949219
1580113768.6036496,80562,75.30006408691406
1580113830.300713,80950,75.06843566894531
1580113892.0452712,81335,75.25077056884766
1580113953.8520498,81725,75.15283203125
1580114015.9019186,82110,74.69312286376953
1580114077.5866554,82495,74.72333526611328
1580114139.380923,82881,74.94435119628906
1580114202.8699675,83269,74.39549255371094
1580114264.56849,83656,74.49209594726562
1580114326.3174517,84044,74.79463958740234
1580114388.5930014,84436,74.63468933105469
1580114450.6793191,84825,74.35122680664062
1580114512.6967752,85212,74.20659637451172
1580114574.6266444,85599,74.5936279296875
1580114636.3113058,85985,74.62102508544922
1580114698.0553784,86369,74.18179321289062
1580114759.8721836,86756,73.81207275390625
1580114822.326349,87145,74.4413833618164
1580114884.077451,87533,73.92109680175781
1580114945.899429,87918,74.30390930175781
1580115007.6179051,88307,74.07181549072266
1580115069.3962426,88696,73.66268920898438
1580115131.2457561,89081,74.2103500366211
1580115192.8545208,89470,73.8298110961914
1580115256.8409736,89856,73.48521423339844
1580115318.5983489,90238,73.4007339477539
1580115380.297563,90626,73.6793441772461
1580115442.0634992,91013,73.66873168945312
1580115504.145226,91398,73.73336791992188
1580115566.0359015,91786,73.71037292480469
1580115627.6816561,92170,73.31873321533203
1580115689.3571842,92555,73.05284881591797
1580115751.1876295,92940,73.58734130859375
1580115813.4333978,93331,73.07804107666016
1580115875.1490464,93718,72.85783386230469
1580115937.1919992,94104,73.14344787597656
1580115999.748355,94490,72.9116439819336
1580116062.4126613,94879,72.78633117675781
1580116124.1811962,95266,73.0956039428711
1580116186.493729,95655,73.1048812866211
1580116248.4027414,96043,73.0931625366211
1580116310.1068368,96428,72.50463104248047
1580116371.900061,96814,72.49322509765625
1580116433.9013338,97202,72.55863189697266
1580116495.7097795,97590,72.87513732910156
1580116557.7090988,97976,72.8182373046875
1580116621.07522,98361,72.93740844726562
1580116683.09811,98748,72.17448425292969
1580116745.0037308,99136,72.68507385253906
1580116806.823726,99524,72.6580810546875
1580116868.531915,99914,72.4755630493164
1580116930.253283,100300,72.2830581665039
1580116992.0373533,100686,72.50117492675781
1580117053.8359754,101073,72.18828582763672
1580117118.1941957,101463,72.6705551147461
1580117179.969621,101847,72.29815673828125
1580117241.694525,102238,72.38809967041016
1580117303.8879435,102623,72.51331329345703
1580117365.544828,103011,72.1201171875
1580117427.238728,103398,71.98686218261719
1580117488.9774506,103785,71.46566772460938
1580117550.7950592,104173,72.31536102294922
1580117612.8127143,104562,72.247802734375
